lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
"Dutch (Nederlands, Vlaams)",nl,appelblauwzeegroen,appelblauwzeegroen,7,"rgb(0, 255, 233)",10,,,,
"Dutch (Nederlands, Vlaams)",nl,beige,beige,0,,21,"rgb(202,190,147)",0.8007595783757898,-0.005132042704164312,0.05880395364250874
"Dutch (Nederlands, Vlaams)",nl,blauw,blauw,112,"rgb(0, 134, 255)",136,"rgb(35,124,225)",0.5906079318991528,-0.044956445562344814,-0.16781820635788536
"Dutch (Nederlands, Vlaams)",nl,bordeaux,bordeaux,0,,17,"rgb(125,46,52)",0.41777902916190407,0.10340621303965741,0.03565783690422443
"Dutch (Nederlands, Vlaams)",nl,bruin,bruin,0,,81,"rgb(132,85,59)",0.49484137036710113,0.047761337100586734,0.05593414133298969
"Dutch (Nederlands, Vlaams)",nl,cyaan,cyaan,3,,12,"rgb(93,207,198)",0.7865942805313129,-0.10364407058764091,-0.014681484956374675
"Dutch (Nederlands, Vlaams)",nl,donkerblauw,donkerblauw,26,"rgb(0, 20, 255)",50,"rgb(39,57,171)",0.41218048977223154,-0.0021829819951554937,-0.1817651360778528
"Dutch (Nederlands, Vlaams)",nl,donkergroen,donkergroen,0,,26,"rgb(45,103,65)",0.4632170093703986,-0.0777371045921948,0.04014828422517359
"Dutch (Nederlands, Vlaams)",nl,donker oranje,donkeroranje,6,"rgb(255, 109, 0)",5,,,,
"Dutch (Nederlands, Vlaams)",nl,donker paars,donkerpaars,3,,25,"rgb(101,54,126)",0.4248935094337587,0.08349099757695265,-0.0921226649436641
"Dutch (Nederlands, Vlaams)",nl,donkerroze,donkerroze,8,"rgb(255, 0, 156)",8,,,,
"Dutch (Nederlands, Vlaams)",nl,felgroen,felgroen,6,"rgb(0, 255, 85)",10,,,,
"Dutch (Nederlands, Vlaams)",nl,geel,geel,34,"rgb(255, 242, 0)",24,"rgb(243,230,40)",0.9073661172970531,-0.04899830658860388,0.1787041680221197
"Dutch (Nederlands, Vlaams)",nl,grasgroen,grasgroen,5,"rgb(105, 255, 0)",9,,,,
"Dutch (Nederlands, Vlaams)",nl,grijs,grijs,0,,28,"rgb(134,145,155)",0.6519414907145287,-0.008478441520132511,-0.01697572388467733
"Dutch (Nederlands, Vlaams)",nl,groen,groen,75,"rgb(0, 255, 72)",157,"rgb(93,201,95)",0.7495105636935113,-0.142342107547309,0.10391549889267498
"Dutch (Nederlands, Vlaams)",nl,groengeel,groengeel,7,"rgb(168, 255, 0)",4,,,,
"Dutch (Nederlands, Vlaams)",nl,hemelsblauw,hemelsblauw,5,"rgb(0, 184, 255)",0,,,,
"Dutch (Nederlands, Vlaams)",nl,knalroze,knalroze,6,"rgb(255, 0, 150)",0,,,,
"Dutch (Nederlands, Vlaams)",nl,lichtblauw,lichtblauw,31,"rgb(0, 217, 255)",38,"rgb(95,208,243)",0.8053364979231936,-0.08541009062281156,-0.07403670214988015
"Dutch (Nederlands, Vlaams)",nl,lichtgroen,lichtgroen,16,"rgb(0, 255, 56)",34,"rgb(136,236,121)",0.8550922074030961,-0.13870090469715962,0.11184432842814931
"Dutch (Nederlands, Vlaams)",nl,lichtpaars,lichtpaars,1,,14,"rgb(189,127,212)",0.6903729496342301,0.10014838706312644,-0.09534915742414775
"Dutch (Nederlands, Vlaams)",nl,lila,lila,4,,23,"rgb(192,129,220)",0.701602373445758,0.10235048392511169,-0.10275131173366328
"Dutch (Nederlands, Vlaams)",nl,magenta,magenta,13,"rgb(255, 0, 213)",22,"rgb(219,62,188)",0.6358507296281217,0.21279054128118283,-0.08923043598468236
"Dutch (Nederlands, Vlaams)",nl,middenblauw,middenblauw,5,"rgb(0, 92, 255)",0,,,,
"Dutch (Nederlands, Vlaams)",nl,mintgroen,mintgroen,7,"rgb(0, 255, 175)",7,,,,
"Dutch (Nederlands, Vlaams)",nl,oranje,oranje,59,"rgb(255, 145, 0)",46,"rgb(246,140,40)",0.739792082420351,0.0876941085371528,0.13883725456341375
"Dutch (Nederlands, Vlaams)",nl,oranjerood,oranjerood,5,"rgb(255, 59, 0)",1,,,,
"Dutch (Nederlands, Vlaams)",nl,paars,paars,59,"rgb(208, 0, 255)",161,"rgb(157,68,197)",0.559765731309156,0.13749695046286098,-0.1453318245140642
"Dutch (Nederlands, Vlaams)",nl,rood,rood,53,"rgb(255, 0, 38)",45,"rgb(229,45,59)",0.6002321792701357,0.19897081559636284,0.08649423168513556
"Dutch (Nederlands, Vlaams)",nl,roze,roze,38,"rgb(255, 0, 171)",76,"rgb(235,87,175)",0.6772307479238283,0.19744179488400393,-0.04561512527944884
"Dutch (Nederlands, Vlaams)",nl,rozerood,rozerood,5,"rgb(255, 0, 111)",0,,,,
"Dutch (Nederlands, Vlaams)",nl,turkoois,turkoois,7,"rgb(0, 255, 253)",4,,,,
"Dutch (Nederlands, Vlaams)",nl,turquoise,turquoise,17,"rgb(0, 249, 255)",20,"rgb(62,219,211)",0.8117906885534922,-0.1253973214617069,-0.020941866908771065
"Dutch (Nederlands, Vlaams)",nl,zeeblauw,zeeblauw,5,"rgb(0, 174, 255)",1,,,,
"Dutch (Nederlands, Vlaams)",nl,zwart,zwart,0,,43,"rgb(30,23,32)",0.21680114032117548,0.015628130602761633,-0.014158491672703881
