lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
"Polish (język polski, polszczyzna)",pl,beżowy,bezowy,0,,21,"rgb(209,184,170)",0.8006810540439233,0.021414407470365878,0.027245552707116823
"Polish (język polski, polszczyzna)",pl,biskupi,biskupi,5,"rgb(255, 0, 163)",0,,,,
"Polish (język polski, polszczyzna)",pl,błękitny,błekitny,53,"rgb(0, 192, 255)",13,"rgb(37,189,251)",0.7512055610720061,-0.08927078617641407,-0.11596805284847732
"Polish (język polski, polszczyzna)",pl,bordowy,bordowy,0,,17,"rgb(145,43,56)",0.4485910645851734,0.12934205409429572,0.04019273128397406
"Polish (język polski, polszczyzna)",pl,brązowy,brazowy,0,,49,"rgb(139,88,56)",0.5098989485248032,0.049742135029747184,0.06415579987352318
"Polish (język polski, polszczyzna)",pl,ciemny fiolet,ciemnofiolet,0,,14,"rgb(88,38,87)",0.3584874042273622,0.08615239233791158,-0.05274201853944861
"Polish (język polski, polszczyzna)",pl,ciemnoniebieski,ciemnoniebieski,37,"rgb(0, 61, 255)",9,,,,
"Polish (język polski, polszczyzna)",pl,ciemnoróżowy,ciemnorozowy,5,"rgb(255, 0, 126)",12,"rgb(214,56,129)",0.5988453204136903,0.2019348762019852,-0.009592825851335399
"Polish (język polski, polszczyzna)",pl,ciemnozielony,ciemnozielony,0,,31,"rgb(43,99,58)",0.450322882820634,-0.07813199998488318,0.04489582848047617
"Polish (język polski, polszczyzna)",pl,ciemny żółty,ciemnozołty,5,"rgb(255, 206, 0)",3,,,,
"Polish (język polski, polszczyzna)",pl,czarny,czarny,0,,30,"rgb(31,20,27)",0.2094545141280584,0.021246840636622456,-0.006597088317368182
"Polish (język polski, polszczyzna)",pl,czerwony,czerwony,92,"rgb(255, 0, 44)",46,"rgb(238,35,55)",0.6096987454074773,0.21083562155673177,0.0931951250570569
"Polish (język polski, polszczyzna)",pl,fiolet,fiolet,5,"rgb(192, 0, 255)",15,"rgb(139,67,190)",0.532640538642127,0.11714361584920696,-0.14749624571331205
"Polish (język polski, polszczyzna)",pl,fioletowy,fioletowy,83,"rgb(190, 0, 255)",126,"rgb(159,62,208)",0.564174541723774,0.1466674754682224,-0.16293662303217676
"Polish (język polski, polszczyzna)",pl,fuksja,fuksja,22,"rgb(255, 0, 216)",10,,,,
"Polish (język polski, polszczyzna)",pl,granatowy,granatowy,17,"rgb(0, 31, 255)",45,"rgb(40,57,166)",0.4078978893692741,-0.0008752275551494071,-0.17504485745932857
"Polish (język polski, polszczyzna)",pl,jasnobrązowy,jasnobrazowy,0,,16,"rgb(179,132,80)",0.648008185129946,0.033692177789210465,0.08281179737526194
"Polish (język polski, polszczyzna)",pl,jasnoniebieski,jasnoniebieski,32,"rgb(0, 196, 255)",12,"rgb(62,198,249)",0.7752091980293389,-0.08941333191512747,-0.10018338223463305
"Polish (język polski, polszczyzna)",pl,jasnopomarańczowy,jasnopomaranczowy,9,"rgb(255, 169, 0)",2,,,,
"Polish (język polski, polszczyzna)",pl,jasnozielony,jasnozielony,21,"rgb(129, 255, 0)",20,"rgb(150,243,91)",0.8754161313289837,-0.14629208290754347,0.1446128224494277
"Polish (język polski, polszczyzna)",pl,limonkowy,limonkowy,14,"rgb(123, 255, 0)",8,,,,
"Polish (język polski, polszczyzna)",pl,magenta,magenta,11,"rgb(255, 0, 163)",10,,,,
"Polish (język polski, polszczyzna)",pl,malinowy,malinowy,19,"rgb(255, 0, 97)",2,,,,
"Polish (język polski, polszczyzna)",pl,miętowy,mietowy,5,"rgb(0, 255, 191)",8,,,,
"Polish (język polski, polszczyzna)",pl,morski,morski,13,"rgb(0, 255, 246)",17,"rgb(52,190,183)",0.7285509358735304,-0.11213126391572906,-0.01995329353890467
"Polish (język polski, polszczyzna)",pl,niebieski,niebieski,217,"rgb(0, 140, 255)",128,"rgb(30,136,236)",0.6231092504080624,-0.05364629630593222,-0.1660750506968761
"Polish (język polski, polszczyzna)",pl,oliwkowy,oliwkowy,1,,12,"rgb(140,150,59)",0.6452338895851157,-0.0482467265900403,0.10464879194743128
