lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Portuguese (português),pt,amarelo,amarelo,96,"rgb(255, 236, 0)",36,"rgb(245,228,37)",0.9043835348305724,-0.04426712592619476,0.17876132372684153
Portuguese (português),pt,azul,azul,223,"rgb(0, 136, 255)",144,"rgb(35,131,234)",0.6115523267096328,-0.048080961998013386,-0.17065648412278614
Portuguese (português),pt,azul bebê,azulbebe,7,,13,"rgb(121,209,239)",0.8169420402626194,-0.07013492167896802,-0.06293440085436812
Portuguese (português),pt,azul celeste,azulceleste,9,"rgb(0, 163, 255)",3,,,,
Portuguese (português),pt,azul céu,azulceu,8,"rgb(0, 178, 255)",4,,,,
Portuguese (português),pt,azul claro,azulclaro,60,"rgb(0, 192, 255)",20,"rgb(59,192,249)",0.7621782134398289,-0.08576461892645958,-0.1065276671629876
Portuguese (português),pt,azul escuro,azulescuro,34,"rgb(0, 50, 255)",32,"rgb(39,68,204)",0.46354346734016855,-0.00998919883568896,-0.21096153375307014
Portuguese (português),pt,azul marinho,azulmarinho,15,"rgb(0, 147, 255)",22,"rgb(24,99,181)",0.5010069571811094,-0.039165314470616844,-0.1421396861929627
Portuguese (português),pt,azul piscina,azulpiscina,16,"rgb(0, 245, 255)",6,,,,
Portuguese (português),pt,bege,bege,1,,17,"rgb(218,190,136)",0.8132467832422123,0.009367701563032967,0.07711786243430913
Portuguese (português),pt,castanho,castanho,0,,16,"rgb(138,83,51)",0.49827950554621214,0.056957803547247526,0.06639002012133328
Portuguese (português),pt,ciano,ciano,30,"rgb(0, 255, 254)",15,"rgb(53,233,222)",0.8471657701383197,-0.13654993042105756,-0.019840124166851845
Portuguese (português),pt,cinza,cinza,0,,27,"rgb(139,140,135)",0.6382598107580998,-0.004243843701710043,0.007005173773412115
Portuguese (português),pt,fúcsia,fucsia,9,"rgb(255, 0, 205)",5,,,,
Portuguese (português),pt,laranja,laranja,101,"rgb(255, 131, 0)",47,"rgb(247,132,31)",0.7290417953818188,0.09971692144063317,0.1402189525527058
Portuguese (português),pt,lilás,lilas,6,,49,"rgb(186,122,215)",0.6813353182266866,0.10386182998867895,-0.10544765282778144
Portuguese (português),pt,magenta,magenta,25,"rgb(255, 0, 186)",23,"rgb(222,52,164)",0.6210986785316663,0.22154600621204054,-0.05782684239490415
Portuguese (português),pt,marrom,marrom,0,,55,"rgb(131,84,53)",0.4921721267940821,0.04584315127606329,0.0628066541542961
Portuguese (português),pt,preto,preto,0,,26,"rgb(40,28,40)",0.24705874515313642,0.022903446414916682,-0.014417511356628656
Portuguese (português),pt,rosa,rosa,101,"rgb(255, 0, 171)",84,"rgb(240,72,171)",0.6689516936788621,0.21849127096832818,-0.04453498264134217
Portuguese (português),pt,rosa choque,rosachoque,26,"rgb(255, 0, 179)",13,"rgb(247,37,174)",0.6580583124571873,0.25405709008298255,-0.05533535678496287
Portuguese (português),pt,roxo,roxo,64,"rgb(172, 0, 255)",114,"rgb(148,63,199)",0.5448834942610815,0.13145519172490314,-0.158670642442085
Portuguese (português),pt,turquesa,turquesa,13,"rgb(0, 222, 255)",5,,,,
Portuguese (português),pt,verde,verde,128,"rgb(0, 255, 57)",171,"rgb(96,213,91)",0.7790549382400647,-0.15415486738729392,0.11777142400721119
Portuguese (português),pt,verde água,verdeagua,28,"rgb(0, 255, 202)",22,"rgb(61,237,181)",0.8459301094859589,-0.1557502171538175,0.037551669149726914
Portuguese (português),pt,verde claro,verdeclaro,31,"rgb(0, 255, 80)",35,"rgb(119,241,115)",0.8607391884587816,-0.1598662764008097,0.12043918287899825
Portuguese (português),pt,verde escuro,verdeescuro,0,,26,"rgb(53,118,58)",0.5072726635134519,-0.09258391221321244,0.0649945300929924
Portuguese (português),pt,verde limão,verdelimao,23,"rgb(158, 255, 0)",14,"rgb(155,246,35)",0.8830935482099076,-0.15773305367523904,0.17611537539402727
Portuguese (português),pt,verde musgo,verdemusgo,0,,19,"rgb(96,140,75)",0.5919089833019449,-0.07554186448640814,0.0726947702467368
Portuguese (português),pt,vermelho,vermelho,76,"rgb(255, 0, 37)",44,"rgb(238,42,52)",0.6138803234919297,0.20553883014408406,0.09671544866037195
Portuguese (português),pt,vinho,vinho,0,,23,"rgb(133,38,61)",0.4232161832477722,0.12803339548344794,0.023275475917609936
Portuguese (português),pt,violeta,violeta,17,"rgb(201, 0, 255)",25,"rgb(164,66,206)",0.5728644657843175,0.14885404791256662,-0.15503776442168632
