lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Romanian (limba română),ro,albastru,albastru,133,"rgb(0, 127, 255)",24,"rgb(4,127,248)",0.6082970183604464,-0.05050541354020456,-0.1968194917926633
Romanian (limba română),ro,albastru deschis,albastrudeschis,24,"rgb(0, 217, 255)",7,,,,
Romanian (limba română),ro,albastru inchis,albastruinchis,13,"rgb(0, 64, 255)",8,,,,
Romanian (limba română),ro,bleu,bleu,25,"rgb(0, 207, 255)",6,,,,
Romanian (limba română),ro,bleumarin,bleumarin,8,"rgb(0, 88, 255)",8,,,,
Romanian (limba română),ro,cyan,cyan,6,"rgb(0, 255, 251)",1,,,,
Romanian (limba română),ro,fucsia,fucsia,13,"rgb(255, 0, 136)",3,,,,
Romanian (limba română),ro,galben,galben,60,"rgb(255, 237, 0)",8,,,,
Romanian (limba română),ro,indigo,indigo,6,"rgb(122, 0, 255)",9,,,,
Romanian (limba română),ro,lime,lime,5,"rgb(185, 255, 0)",5,,,,
Romanian (limba română),ro,magenta,magenta,13,"rgb(255, 0, 192)",4,,,,
Romanian (limba română),ro,maro,maro,3,,18,"rgb(137,90,52)",0.5098285626069416,0.04302946264067486,0.06877283589241781
Romanian (limba română),ro,mov,mov,48,"rgb(214, 0, 255)",36,"rgb(170,64,211)",0.5816704300296015,0.1581410183990744,-0.15931278854024825
Romanian (limba română),ro,mustar,mustar,6,"rgb(255, 189, 0)",1,,,,
Romanian (limba română),ro,negru,negru,0,,14,"rgb(15,13,14)",0.16248887764731962,0.004072905347656263,0.00032551692177363006
Romanian (limba română),ro,portocaliu,portocaliu,55,"rgb(255, 137, 0)",9,,,,
Romanian (limba română),ro,portocaliu inchis,portocaliuinchis,6,"rgb(255, 104, 0)",0,,,,
Romanian (limba română),ro,rosu,rosu,64,"rgb(255, 0, 41)",12,"rgb(248,35,54)",0.626841622811784,0.21790026404885554,0.09884137810883854
Romanian (limba română),ro,rosu aprins,rosuaprins,5,"rgb(255, 0, 40)",0,,,,
Romanian (limba română),ro,roz,roz,59,"rgb(255, 0, 180)",25,"rgb(246,73,181)",0.6829602617876196,0.2252761722892244,-0.05353067766207427
Romanian (limba română),ro,roz inchis,rozinchis,7,"rgb(255, 0, 142)",4,,,,
Romanian (limba română),ro,turcoaz,turcoaz,23,"rgb(0, 255, 228)",7,,,,
Romanian (limba română),ro,verde,verde,97,"rgb(0, 255, 67)",42,"rgb(91,235,92)",0.8322664006489948,-0.1782111369589584,0.13248565146005012
Romanian (limba română),ro,verde deschis,verdedeschis,14,"rgb(0, 255, 48)",4,,,,
Romanian (limba română),ro,verde neon,verdeneon,9,"rgb(0, 255, 149)",1,,,,
Romanian (limba română),ro,verde praz,verdepraz,7,"rgb(143, 255, 0)",2,,,,
Romanian (limba română),ro,violet,violet,20,"rgb(213, 0, 255)",8,,,,
