lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Russian (Русский),ru,алый,алыи,13,"rgb(255, 0, 47)",7,,,,
Russian (Русский),ru,бежевый,бежевыи,0,,22,"rgb(223,188,159)",0.8182886099715223,0.025893691915558844,0.04982772812449444
Russian (Русский),ru,бирюзовый,бирюзовыи,45,"rgb(0, 255, 212)",34,"rgb(50,228,195)",0.8245706826428354,-0.1442504550732141,0.009308181965791631
Russian (Русский),ru,болотный,болотныи,0,,12,"rgb(90,102,54)",0.4888257614019073,-0.037568524161014305,0.061790630027419524
Russian (Русский),ru,бордовый,бордовыи,2,,17,"rgb(151,39,76)",0.45895663412105003,0.1483657878048325,0.013763859772015438
Russian (Русский),ru,голубой,голубои,109,"rgb(0, 193, 255)",57,"rgb(46,189,244)",0.7490294558821898,-0.08898355748265634,-0.10618720539720404
Russian (Русский),ru,желто зеленый,желтозеленыи,10,"rgb(163, 255, 0)",11,,,,
Russian (Русский),ru,желтый,желтыи,74,"rgb(255, 244, 0)",39,"rgb(241,232,53)",0.9104678851116682,-0.05214232277551318,0.1747426198832269
Russian (Русский),ru,зеленый,зеленыи,70,"rgb(0, 255, 64)",139,"rgb(81,202,89)",0.7450922005696792,-0.15310549364314316,0.10893396076042416
Russian (Русский),ru,коричневый,коричневыи,0,,76,"rgb(137,88,51)",0.5066699683457383,0.04591063545973674,0.06918772055002964
Russian (Русский),ru,красный,красныи,73,"rgb(255, 0, 36)",50,"rgb(235,36,52)",0.6040117784206341,0.20729552003398627,0.09404338778403454
Russian (Русский),ru,лавандовый,лавандовыи,0,,12,"rgb(181,151,218)",0.7262559054320357,0.0567316024822545,-0.08288488458832184
Russian (Русский),ru,лазурный,лазурныи,9,"rgb(0, 182, 255)",7,,,,
Russian (Русский),ru,лаймовый,лаимовыи,6,"rgb(173, 255, 0)",4,,,,
Russian (Русский),ru,лиловый,лиловыи,4,,15,"rgb(199,110,217)",0.6786222727645055,0.13663041264252468,-0.11071714203314781
Russian (Русский),ru,лимонный,лимонныи,8,"rgb(209, 255, 0)",4,,,,
Russian (Русский),ru,малиновый,малиновыи,25,"rgb(255, 0, 109)",17,"rgb(224,33,114)",0.5963949493119264,0.22399853106192152,0.012246771453465912
Russian (Русский),ru,мятный,мятныи,11,"rgb(0, 255, 184)",19,"rgb(110,237,176)",0.8568779018520004,-0.13527396667648484,0.04882776385342072
Russian (Русский),ru,небесный,небесныи,8,"rgb(0, 198, 255)",1,,,,
Russian (Русский),ru,оливковый,оливковыи,1,,18,"rgb(141,164,88)",0.683963305801722,-0.0575579902863137,0.08878239315454672
Russian (Русский),ru,оранжевый,оранжевыи,80,"rgb(255, 137, 0)",37,"rgb(248,134,28)",0.7327356676882217,0.09817462658535557,0.14219658701884216
Russian (Русский),ru,охра,охра,4,,12,"rgb(223,170,66)",0.7692146537459662,0.02160552159308986,0.1313777110815335
Russian (Русский),ru,пурпурный,пурпурныи,15,"rgb(255, 0, 254)",35,"rgb(193,61,187)",0.5948484576304953,0.18735808966556963,-0.10918957227676039
Russian (Русский),ru,розово фиолетовый,розовофиолетовыи,5,"rgb(253, 0, 255)",2,,,,
Russian (Русский),ru,розовый,розовыи,65,"rgb(255, 0, 180)",76,"rgb(243,89,180)",0.6929256860600607,0.2048428720926169,-0.046320379013705226
Russian (Русский),ru,салатовый,салатовыи,41,"rgb(109, 255, 0)",38,"rgb(140,242,76)",0.8660384077811663,-0.15713924431481116,0.15281016288307236
Russian (Русский),ru,светло голубой,светлоголубои,15,"rgb(0, 239, 255)",6,,,,
Russian (Русский),ru,светло зеленый,светлозеленыи,13,"rgb(0, 255, 26)",26,"rgb(141,237,121)",0.8604298644625964,-0.1361788188971272,0.11388917531383366
Russian (Русский),ru,светло коричневый,светлокоричневыи,1,,12,"rgb(187,138,91)",0.6703484802249917,0.03769564625144744,0.07778579721441975
Russian (Русский),ru,светло оранжевый,светлооранжевыи,6,"rgb(255, 185, 0)",1,,,,
Russian (Русский),ru,светло синий,светлосинии,14,"rgb(0, 146, 255)",7,,,,
Russian (Русский),ru,серо зелёный,серозеленыи,0,,14,"rgb(109,138,105)",0.6014480101498823,-0.046613852298987735,0.037297214063619424
Russian (Русский),ru,серый,серыи,0,,26,"rgb(141,150,156)",0.6673840883456337,-0.007155915947162904,-0.010928195227749491
Russian (Русский),ru,сине зеленый,синезеленыи,3,,12,"rgb(47,156,133)",0.6245921773718147,-0.10228245827959248,0.00679809056609878
Russian (Русский),ru,синий,синии,136,"rgb(0, 93, 255)",102,"rgb(32,93,228)",0.52786535885337,-0.02659144017959093,-0.21290445317787454
Russian (Русский),ru,сиреневый,сиреневыи,17,"rgb(226, 0, 255)",40,"rgb(186,101,225)",0.6542310330643294,0.1341493094765205,-0.1380309539989279
Russian (Русский),ru,темно голубой,темноголубои,15,"rgb(0, 141, 255)",4,,,,
Russian (Русский),ru,темно желтый,темножелтыи,6,"rgb(255, 206, 0)",4,,,,
Russian (Русский),ru,темно зеленый,темнозеленыи,2,,36,"rgb(40,90,46)",0.4204315559441928,-0.07443931964442482,0.05007955135749141
Russian (Русский),ru,тёмно коричневый,темнокоричневыи,0,,12,"rgb(73,38,36)",0.3147768633036112,0.04852256468120141,0.021970357942671992
Russian (Русский),ru,темно оранжевый,темнооранжевыи,9,"rgb(255, 96, 0)",8,,,,
Russian (Русский),ru,темно синий,темносинии,20,"rgb(22, 0, 255)",33,"rgb(35,45,163)",0.38127587424913456,0.0012613366251296872,-0.18540964520066727
Russian (Русский),ru,темно фиолетовый,темнофиолетовыи,4,,19,"rgb(87,41,122)",0.38496262742098575,0.08117759246332767,-0.10673432793165208
Russian (Русский),ru,фиолетовый,фиолетовыи,54,"rgb(198, 0, 255)",100,"rgb(147,58,199)",0.5379906870925679,0.13639643823830047,-0.16302654385365928
Russian (Русский),ru,фуксия,фуксия,22,"rgb(255, 0, 195)",25,"rgb(228,40,181)",0.6312943677416228,0.23839207223813938,-0.08084968292219148
Russian (Русский),ru,циан,циан,7,"rgb(0, 255, 255)",3,,,,
Russian (Русский),ru,черный,черныи,0,,26,"rgb(22,27,32)",0.21938948980421735,-0.0041598583110917815,-0.011414733838595119
Russian (Русский),ru,ярко зеленый,яркозеленыи,8,"rgb(14, 255, 0)",11,,,,
Russian (Русский),ru,ярко розовый,яркорозовыи,11,"rgb(255, 0, 177)",8,,,,
Russian (Русский),ru,ярко салатовый,яркосалатовыи,5,"rgb(0, 255, 10)",1,,,,
