lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Swedish (svenska),sv,blå,bla,243,"rgb(0, 128, 255)",63,"rgb(9,125,246)",0.6035188273663225,-0.04908867714846917,-0.19582215679761206
Swedish (svenska),sv,brun,brun,2,,35,"rgb(153,94,57)",0.5395799648806358,0.05732934874987446,0.07324011413555856
Swedish (svenska),sv,cerise,cerise,10,"rgb(255, 0, 135)",9,,,,
Swedish (svenska),sv,grön,gron,160,"rgb(0, 255, 74)",69,"rgb(84,235,94)",0.8309108426936664,-0.18115130880377409,0.1305189872676862
Swedish (svenska),sv,gul,gul,102,"rgb(255, 240, 0)",23,"rgb(245,232,31)",0.9137126359728384,-0.049911955564040406,0.18260157227444823
Swedish (svenska),sv,himmelsblå,himmelsbla,8,"rgb(0, 166, 255)",11,,,,
Swedish (svenska),sv,lila,lila,108,"rgb(208, 0, 255)",69,"rgb(179,58,221)",0.5947369178006701,0.1730185517888756,-0.16970414928155614
Swedish (svenska),sv,lime,lime,11,"rgb(168, 255, 0)",0,,,,
Swedish (svenska),sv,limegrön,limegron,24,"rgb(148, 255, 0)",24,"rgb(152,246,62)",0.8814786280343779,-0.15600907359846375,0.16527133561762544
Swedish (svenska),sv,ljusblå,ljusbla,58,"rgb(0, 198, 255)",23,"rgb(59,196,251)",0.7702859354419518,-0.08821387779578425,-0.10518936013441321
Swedish (svenska),sv,ljusgrön,ljusgron,12,"rgb(0, 255, 70)",27,"rgb(128,233,117)",0.8452908964897186,-0.14355459759209357,0.11279299871477456
Swedish (svenska),sv,ljusorange,ljusorange,5,"rgb(255, 168, 0)",1,,,,
Swedish (svenska),sv,marinblå,marinbla,4,,14,"rgb(34,55,145)",0.3815382385478838,-0.0052570927347601465,-0.14910097778347245
Swedish (svenska),sv,mintgrön,mintgron,8,"rgb(0, 255, 160)",12,"rgb(98,235,172)",0.8486821088139133,-0.1415907151789678,0.04978310711057862
Swedish (svenska),sv,mörkblå,morkbla,41,"rgb(0, 51, 255)",28,"rgb(33,58,203)",0.44297948417398353,-0.010954315545302606,-0.2224581261883053
Swedish (svenska),sv,mörkgrön,morkgron,2,,19,"rgb(40,109,56)",0.47628131550965247,-0.09192398129757615,0.0566382760488174
Swedish (svenska),sv,mörkgul,morkgul,8,"rgb(255, 214, 0)",1,,,,
Swedish (svenska),sv,mörklila,morklila,5,"rgb(155, 0, 255)",21,"rgb(106,49,138)",0.4323562077180418,0.09686070772180051,-0.10998045091709165
Swedish (svenska),sv,mörkorange,morkorange,6,"rgb(255, 95, 0)",0,,,,
Swedish (svenska),sv,mörkrosa,morkrosa,7,"rgb(255, 0, 126)",10,,,,
Swedish (svenska),sv,neongrön,neongron,8,"rgb(53, 255, 0)",13,"rgb(90,245,67)",0.8548732438765898,-0.19514949596306833,0.15645822276172014
Swedish (svenska),sv,orange,orange,105,"rgb(255, 137, 0)",23,"rgb(251,133,21)",0.7343646803137848,0.10198707189814943,0.1448456379024138
Swedish (svenska),sv,röd,rod,121,"rgb(255, 0, 43)",23,"rgb(250,30,54)",0.6298003197757428,0.2222177192444016,0.09945611643093101
Swedish (svenska),sv,rosa,rosa,99,"rgb(255, 0, 166)",39,"rgb(247,64,169)",0.6722232792306473,0.2319593647516185,-0.040156569052680204
Swedish (svenska),sv,senapsgul,senapsgul,7,"rgb(255, 196, 0)",5,,,,
Swedish (svenska),sv,skogsgrön,skogsgron,0,,12,"rgb(72,122,50)",0.5273358059832255,-0.08547385191375623,0.07969880399076083
Swedish (svenska),sv,svart,svart,0,,20,"rgb(33,24,29)",0.2222963529988496,0.015922842609832726,-0.0037938532852784847
Swedish (svenska),sv,turkos,turkos,90,"rgb(0, 255, 243)",33,"rgb(41,235,220)",0.8499109258993057,-0.14256062616880247,-0.015143956692411987
Swedish (svenska),sv,vinröd,vinrod,1,,16,"rgb(131,31,61)",0.4118957817098202,0.13360493002655413,0.018170763407137067
