lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Turkish (Türkçe),tr,açık mavi,acikmavi,19,"rgb(0, 209, 255)",5,,,,
Turkish (Türkçe),tr,açık yeşil,acikyesil,13,"rgb(54, 255, 0)",5,,,,
Turkish (Türkçe),tr,camgöbeği,camgobegi,5,"rgb(0, 244, 255)",0,,,,
Turkish (Türkçe),tr,çingene pembesi,cingenepembesi,5,"rgb(255, 0, 185)",1,,,,
Turkish (Türkçe),tr,eflatun,eflatun,11,"rgb(255, 0, 217)",2,,,,
Turkish (Türkçe),tr,fıstık yeşili,fistikyesili,14,"rgb(61, 255, 0)",1,,,,
Turkish (Türkçe),tr,fuşya,fusya,10,"rgb(255, 0, 197)",5,,,,
Turkish (Türkçe),tr,gök mavisi,gokmavisi,6,"rgb(0, 198, 255)",0,,,,
Turkish (Türkçe),tr,kahverengi,kahverengi,0,,12,"rgb(128,91,53)",0.5027757263729707,0.02908636589144129,0.06656218714466021
Turkish (Türkçe),tr,kırmızı,kirmizi,56,"rgb(255, 0, 44)",9,,,,
Turkish (Türkçe),tr,koyu mavi,koyumavi,14,"rgb(0, 81, 255)",4,,,,
Turkish (Türkçe),tr,lacivert,lacivert,46,"rgb(0, 53, 255)",16,"rgb(35,61,219)",0.4649149422785821,-0.011943521221859231,-0.23810807250025032
Turkish (Türkçe),tr,mavi,mavi,121,"rgb(0, 152, 255)",20,"rgb(22,149,249)",0.658821883317537,-0.06178721897363345,-0.16790636004872306
Turkish (Türkçe),tr,mor,mor,60,"rgb(197, 0, 255)",28,"rgb(170,53,221)",0.5785258885490765,0.16709096783158522,-0.1786774901237827
Turkish (Türkçe),tr,pembe,pembe,65,"rgb(255, 0, 163)",17,"rgb(249,57,165)",0.6688223898599615,0.2395305576831051,-0.034955672311053995
Turkish (Türkçe),tr,sarı,sari,62,"rgb(255, 237, 0)",5,,,,
Turkish (Türkçe),tr,su yeşili,suyesili,8,"rgb(0, 255, 169)",6,,,,
Turkish (Türkçe),tr,turkuaz,turkuaz,43,"rgb(0, 255, 247)",9,,,,
Turkish (Türkçe),tr,turuncu,turuncu,72,"rgb(255, 134, 0)",6,,,,
Turkish (Türkçe),tr,yeşil,yesil,89,"rgb(0, 255, 50)",29,"rgb(88,230,92)",0.8201159831642972,-0.17544441054844304,0.1289638810900374
