lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Urdu (اردو),ur,bhoora,بھورا,1,,20,"rgb(139,96,83)",0.5300345190317327,0.04775520974403535,0.036502047020384495
Urdu (اردو),ur,baigani,بیگنی,0,,16,"rgb(142,74,178)",0.5378138904902304,0.11245586579518428,-0.12332006275620006
Urdu (اردو),ur,peela,پیلا,13,"rgb(255, 231, 0)",14,"rgb(241,223,69)",0.8918745903471487,-0.03592081977886873,0.16214363490574876
Urdu (اردو),ur,جامنی,جامنی,11,"rgb(168, 0, 255)",44,"rgb(142,59,187)",0.5248558761999653,0.12982650662671194,-0.1481568444615873
Urdu (اردو),ur,sabz,سبز,8,"rgb(121, 255, 0)",15,"rgb(93,177,74)",0.684419921414653,-0.1239067921599702,0.1036919319255596
Urdu (اردو),ur,surkh,سرخ,6,"rgb(255, 0, 18)",1,,,,
Urdu (اردو),ur,kala,کالا,0,,25,"rgb(26,19,32)",0.20236012293454705,0.017191026918041863,-0.02036114414510161
Urdu (اردو),ur,gulabi,گلابی,17,"rgb(255, 0, 194)",42,"rgb(228,89,174)",0.6691778135041531,0.1890935912249933,-0.0480527938588872
Urdu (اردو),ur,laal,لال,4,,12,"rgb(215,46,42)",0.5741861001053475,0.18220332651804985,0.09533656325887957
Urdu (اردو),ur,neela,نیلا,34,"rgb(0, 118, 255)",54,"rgb(58,118,213)",0.5750954526100621,-0.02917438068552194,-0.156085685658919
Urdu (اردو),ur,hara,ہرا,7,"rgb(0, 255, 92)",58,"rgb(84,169,84)",0.6618012957020591,-0.11880197120602548,0.08722290399625696
