lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
Vietnamese (Tiếng Việt),vi,cam,cam,26,"rgb(255, 124, 0)",0,,,,
Vietnamese (Tiếng Việt),vi,da cam,dacam,11,"rgb(255, 149, 0)",0,,,,
Vietnamese (Tiếng Việt),vi,đỏ,đo,25,"rgb(255, 0, 43)",0,,,,
Vietnamese (Tiếng Việt),vi,đỏ cam,đocam,6,"rgb(255, 62, 0)",0,,,,
Vietnamese (Tiếng Việt),vi,đỏ hồng,đohong,6,"rgb(255, 0, 77)",0,,,,
Vietnamese (Tiếng Việt),vi,hồng,hong,48,"rgb(255, 0, 187)",0,,,,
Vietnamese (Tiếng Việt),vi,hồng cánh sen,hongcanhsen,6,"rgb(255, 0, 179)",0,,,,
Vietnamese (Tiếng Việt),vi,hồng tím,hongtim,5,"rgb(255, 0, 231)",0,,,,
Vietnamese (Tiếng Việt),vi,màu cam,maucam,10,"rgb(255, 125, 0)",0,,,,
Vietnamese (Tiếng Việt),vi,màu đỏ,mauđo,5,"rgb(255, 0, 27)",0,,,,
Vietnamese (Tiếng Việt),vi,màu tím,mautim,8,"rgb(167, 0, 255)",0,,,,
Vietnamese (Tiếng Việt),vi,màu vàng,mauvang,5,"rgb(255, 246, 0)",0,,,,
Vietnamese (Tiếng Việt),vi,tím,tim,32,"rgb(173, 0, 255)",2,,,,
Vietnamese (Tiếng Việt),vi,vàng,vang,33,"rgb(255, 233, 0)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh,xanh,18,"rgb(0, 191, 255)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh chuối,xanhchuoi,9,"rgb(103, 255, 0)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh đậm,xanhđam,7,"rgb(0, 67, 255)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh da trời,xanhdatroi,27,"rgb(0, 193, 255)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh dương,xanhduong,38,"rgb(0, 128, 255)",1,,,,
Vietnamese (Tiếng Việt),vi,xanh lá,xanhla,21,"rgb(0, 255, 58)",2,,,,
Vietnamese (Tiếng Việt),vi,xanh lá cây,xanhlacay,22,"rgb(0, 255, 43)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh lam,xanhlam,12,"rgb(0, 189, 255)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh lục,xanhluc,6,"rgb(0, 224, 255)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh ngọc,xanhngoc,24,"rgb(0, 255, 243)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh nhạt,xanhnhat,9,"rgb(0, 217, 255)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh nõn chuối,xanhnonchuoi,8,"rgb(149, 255, 0)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh nước biển,xanhnuocbien,21,"rgb(0, 114, 255)",0,,,,
Vietnamese (Tiếng Việt),vi,xanh tím,xanhtim,5,"rgb(68, 0, 255)",0,,,,
