bin_i,bin_start_r,bin_start_g,bin_start_b,bin_end_r,bin_end_g,bin_end_b
0,1,0,0,1,0.1607843137254902,0
1,1,0.1607843137254902,0,1,0.23529411764705882,0
2,1,0.23529411764705882,0,1,0.29411764705882354,0
3,1,0.29411764705882354,0,1,0.3411764705882353,0
4,1,0.3411764705882353,0,1,0.3843137254901961,0
5,1,0.3843137254901961,0,1,0.42745098039215684,0
6,1,0.42745098039215684,0,1,0.4627450980392157,0
7,1,0.4627450980392157,0,1,0.4980392156862745,0
8,1,0.4980392156862745,0,1,0.5333333333333333,0
9,1,0.5333333333333333,0,1,0.5686274509803921,0
10,1,0.5686274509803921,0,1,0.6,0
11,1,0.6,0,1,0.6313725490196078,0
12,1,0.6313725490196078,0,1,0.6627450980392157,0
13,1,0.6627450980392157,0,1,0.6941176470588235,0
14,1,0.6941176470588235,0,1,0.7215686274509804,0
15,1,0.7215686274509804,0,1,0.7529411764705882,0
16,1,0.7529411764705882,0,1,0.7843137254901961,0
17,1,0.7843137254901961,0,1,0.8117647058823529,0
18,1,0.8117647058823529,0,1,0.8431372549019608,0
19,1,0.8431372549019608,0,1,0.8705882352941177,0
20,1,0.8705882352941177,0,1,0.9019607843137255,0
21,1,0.9019607843137255,0,1,0.9294117647058824,0
22,1,0.9294117647058824,0,1,0.9607843137254902,0
23,1,0.9607843137254902,0,1,0.9882352941176471,0
24,1,0.9882352941176471,0,0.9725490196078431,1,0
25,0.9725490196078431,1,0,0.9254901960784314,1,0
26,0.9254901960784314,1,0,0.8784313725490196,1,0
27,0.8784313725490196,1,0,0.8274509803921568,1,0
28,0.8274509803921568,1,0,0.7764705882352941,1,0
29,0.7764705882352941,1,0,0.7254901960784313,1,0
30,0.7254901960784313,1,0,0.6705882352941176,1,0
31,0.6705882352941176,1,0,0.611764705882353,1,0
32,0.611764705882353,1,0,0.5490196078431373,1,0
33,0.5490196078431373,1,0,0.47843137254901963,1,0
34,0.47843137254901963,1,0,0.396078431372549,1,0
35,0.396078431372549,1,0,0.2901960784313726,1,0
36,0.2901960784313726,1,0,0.10980392156862745,1,0
37,0.10980392156862745,1,0,0,1,0.19607843137254902
38,0,1,0.19607843137254902,0,1,0.30196078431372547
39,0,1,0.30196078431372547,0,1,0.3843137254901961
