bin_i,bin_start_r,bin_start_g,bin_start_b,bin_end_before_r,bin_end_before_g,bin_end_before_b
0,1,0,0,1,0.11372549019607843,0
1,1,0.11372549019607843,0,1,0.19607843137254902,0
2,1,0.19607843137254902,0,1,0.25882352941176473,0
3,1,0.25882352941176473,0,1,0.3137254901960784,0
4,1,0.3137254901960784,0,1,0.3607843137254902,0
5,1,0.3607843137254902,0,1,0.40784313725490196,0
6,1,0.40784313725490196,0,1,0.4470588235294118,0
7,1,0.4470588235294118,0,1,0.49019607843137253,0
8,1,0.49019607843137253,0,1,0.5294117647058824,0
9,1,0.5294117647058824,0,1,0.5647058823529412,0
10,1,0.5647058823529412,0,1,0.6039215686274509,0
11,1,0.6039215686274509,0,1,0.6392156862745098,0
12,1,0.6392156862745098,0,1,0.6745098039215687,0
13,1,0.6745098039215687,0,1,0.7098039215686275,0
14,1,0.7098039215686275,0,1,0.7450980392156863,0
15,1,0.7450980392156863,0,1,0.7803921568627451,0
16,1,0.7803921568627451,0,1,0.8156862745098039,0
17,1,0.8156862745098039,0,1,0.8509803921568627,0
18,1,0.8509803921568627,0,1,0.8862745098039215,0
19,1,0.8862745098039215,0,1,0.9215686274509803,0
20,1,0.9215686274509803,0,1,0.9568627450980393,0
21,1,0.9568627450980393,0,1,0.9921568627450981,0
22,1,0.9921568627450981,0,0.9686274509803922,1,0
23,0.9686274509803922,1,0,0.9215686274509803,1,0
24,0.9215686274509803,1,0,0.8745098039215686,1,0
25,0.8745098039215686,1,0,0.8274509803921568,1,0
26,0.8274509803921568,1,0,0.7803921568627451,1,0
27,0.7803921568627451,1,0,0.7333333333333333,1,0
28,0.7333333333333333,1,0,0.6862745098039216,1,0
29,0.6862745098039216,1,0,0.6392156862745098,1,0
30,0.6392156862745098,1,0,0.5882352941176471,1,0
31,0.5882352941176471,1,0,0.5333333333333333,1,0
32,0.5333333333333333,1,0,0.47843137254901963,1,0
33,0.47843137254901963,1,0,0.4196078431372549,1,0
34,0.4196078431372549,1,0,0.3568627450980392,1,0
35,0.3568627450980392,1,0,0.28627450980392155,1,0
36,0.28627450980392155,1,0,0.19607843137254902,1,0
37,0.19607843137254902,1,0,0.058823529411764705,1,0
38,0.058823529411764705,1,0,0,1,0.12549019607843137
39,0,1,0.12549019607843137,0,1,0.24313725490196078
40,0,1,0.24313725490196078,0,1,0.33725490196078434
41,0,1,0.33725490196078434,0,1,0.41568627450980394
42,0,1,0.41568627450980394,0,1,0.48627450980392156
43,0,1,0.48627450980392156,0,1,0.5529411764705883
44,0,1,0.5529411764705883,0,1,0.6196078431372549
45,0,1,0.6196078431372549,0,1,0.6823529411764706
46,0,1,0.6823529411764706,0,1,0.7490196078431373
47,0,1,0.7490196078431373,0,1,0.8117647058823529
48,0,1,0.8117647058823529,0,1,0.8745098039215686
49,0,1,0.8745098039215686,0,1,0.9372549019607843
50,0,1,0.9372549019607843,0,1,1
51,0,1,1,0,0.9647058823529412,1
52,0,0.9647058823529412,1,0,0.9294117647058824,1
53,0,0.9294117647058824,1,0,0.8980392156862745,1
54,0,0.8980392156862745,1,0,0.8627450980392157,1
55,0,0.8627450980392157,1,0,0.8313725490196079,1
56,0,0.8313725490196079,1,0,0.796078431372549,1
57,0,0.796078431372549,1,0,0.7607843137254902,1
58,0,0.7607843137254902,1,0,0.7294117647058823,1
59,0,0.7294117647058823,1,0,0.6941176470588235,1
60,0,0.6941176470588235,1,0,0.6588235294117647,1
61,0,0.6588235294117647,1,0,0.6274509803921569,1
62,0,0.6274509803921569,1,0,0.592156862745098,1
63,0,0.592156862745098,1,0,0.5568627450980392,1
64,0,0.5568627450980392,1,0,0.5215686274509804,1
65,0,0.5215686274509804,1,0,0.48627450980392156,1
66,0,0.48627450980392156,1,0,0.4470588235294118,1
67,0,0.4470588235294118,1,0,0.4117647058823529,1
68,0,0.4117647058823529,1,0,0.37254901960784315,1
69,0,0.37254901960784315,1,0,0.32941176470588235,1
70,0,0.32941176470588235,1,0,0.28627450980392155,1
71,0,0.28627450980392155,1,0,0.24313725490196078,1
72,0,0.24313725490196078,1,0,0.18823529411764706,1
73,0,0.18823529411764706,1,0,0.12941176470588237,1
74,0,0.12941176470588237,1,0,0.054901960784313725,1
75,0,0.054901960784313725,1,0.00784313725490196,0,1
