bin_i,bin_start_r,bin_start_g,bin_start_b,bin_center_r,bin_center_g,bin_center_b,bin_end_before_r,bin_end_before_g,bin_end_before_b
0,255,0,28,255,0,0,255,25,0
1,255,25,0,255,39,0,255,49,0
2,255,49,0,255,57,0,255,65,0
3,255,65,0,255,72,0,255,78,0
4,255,78,0,255,84,0,255,89,0
5,255,89,0,255,94,0,255,99,0
6,255,99,0,255,104,0,255,109,0
7,255,109,0,255,114,0,255,118,0
8,255,118,0,255,123,0,255,127,0
9,255,127,0,255,131,0,255,135,0
10,255,135,0,255,140,0,255,144,0
11,255,144,0,255,148,0,255,152,0
12,255,152,0,255,156,0,255,160,0
13,255,160,0,255,163,0,255,167,0
14,255,167,0,255,171,0,255,175,0
15,255,175,0,255,179,0,255,182,0
16,255,182,0,255,186,0,255,190,0
17,255,190,0,255,194,0,255,197,0
18,255,197,0,255,201,0,255,205,0
19,255,205,0,255,208,0,255,212,0
20,255,212,0,255,216,0,255,219,0
21,255,219,0,255,223,0,255,227,0
22,255,227,0,255,230,0,255,234,0
23,255,234,0,255,238,0,255,241,0
24,255,241,0,255,245,0,255,249,0
25,255,249,0,255,252,0,253,255,0
26,253,255,0,246,255,0,239,255,0
27,239,255,0,232,255,0,225,255,0
28,225,255,0,218,255,0,211,255,0
29,211,255,0,203,255,0,195,255,0
30,195,255,0,187,255,0,179,255,0
31,179,255,0,171,255,0,162,255,0
32,162,255,0,152,255,0,142,255,0
33,142,255,0,132,255,0,120,255,0
34,120,255,0,107,255,0,92,255,0
35,92,255,0,74,255,0,50,255,0
36,50,255,0,0,255,12,0,255,45
37,0,255,45,0,255,64,0,255,78
38,0,255,78,0,255,90,0,255,101
39,0,255,101,0,255,111,0,255,120
40,0,255,120,0,255,129,0,255,137
41,0,255,137,0,255,145,0,255,152
42,0,255,152,0,255,160,0,255,167
43,0,255,167,0,255,174,0,255,181
44,0,255,181,0,255,188,0,255,195
45,0,255,195,0,255,202,0,255,208
46,0,255,208,0,255,215,0,255,222
47,0,255,222,0,255,228,0,255,235
48,0,255,235,0,255,241,0,255,247
49,0,255,247,0,255,254,0,253,255
50,0,253,255,0,249,255,0,246,255
51,0,246,255,0,243,255,0,240,255
52,0,240,255,0,236,255,0,233,255
53,0,233,255,0,230,255,0,227,255
54,0,227,255,0,223,255,0,220,255
55,0,220,255,0,217,255,0,214,255
56,0,214,255,0,210,255,0,207,255
57,0,207,255,0,204,255,0,201,255
58,0,201,255,0,197,255,0,194,255
59,0,194,255,0,191,255,0,188,255
60,0,188,255,0,184,255,0,181,255
61,0,181,255,0,178,255,0,175,255
62,0,175,255,0,171,255,0,168,255
63,0,168,255,0,165,255,0,161,255
64,0,161,255,0,158,255,0,155,255
65,0,155,255,0,151,255,0,148,255
66,0,148,255,0,144,255,0,141,255
67,0,141,255,0,137,255,0,134,255
68,0,134,255,0,130,255,0,127,255
69,0,127,255,0,123,255,0,119,255
70,0,119,255,0,116,255,0,112,255
71,0,112,255,0,108,255,0,104,255
72,0,104,255,0,100,255,0,96,255
73,0,96,255,0,92,255,0,87,255
74,0,87,255,0,83,255,0,78,255
75,0,78,255,0,73,255,0,68,255
76,0,68,255,0,63,255,0,57,255
77,0,57,255,0,51,255,0,43,255
78,0,43,255,0,35,255,0,24,255
79,0,24,255,0,6,255,16,0,255
80,16,0,255,29,0,255,38,0,255
81,38,0,255,46,0,255,53,0,255
82,53,0,255,60,0,255,66,0,255
83,66,0,255,71,0,255,77,0,255
84,77,0,255,82,0,255,87,0,255
85,87,0,255,92,0,255,97,0,255
86,97,0,255,101,0,255,106,0,255
87,106,0,255,111,0,255,115,0,255
88,115,0,255,120,0,255,124,0,255
89,124,0,255,129,0,255,133,0,255
90,133,0,255,138,0,255,142,0,255
91,142,0,255,147,0,255,151,0,255
92,151,0,255,156,0,255,160,0,255
93,160,0,255,165,0,255,169,0,255
94,169,0,255,174,0,255,178,0,255
95,178,0,255,183,0,255,187,0,255
96,187,0,255,192,0,255,196,0,255
97,196,0,255,201,0,255,206,0,255
98,206,0,255,210,0,255,215,0,255
99,215,0,255,219,0,255,224,0,255
100,224,0,255,229,0,255,233,0,255
101,233,0,255,238,0,255,242,0,255
102,242,0,255,247,0,255,252,0,255
103,252,0,255,255,0,253,255,0,247
104,255,0,247,255,0,241,255,0,235
105,255,0,235,255,0,229,255,0,223
106,255,0,223,255,0,217,255,0,210
107,255,0,210,255,0,204,255,0,198
108,255,0,198,255,0,192,255,0,186
109,255,0,186,255,0,180,255,0,174
110,255,0,174,255,0,168,255,0,163
111,255,0,163,255,0,157,255,0,151
112,255,0,151,255,0,145,255,0,138
113,255,0,138,255,0,132,255,0,126
114,255,0,126,255,0,120,255,0,114
115,255,0,114,255,0,107,255,0,101
116,255,0,101,255,0,94,255,0,87
117,255,0,87,255,0,79,255,0,72
118,255,0,72,255,0,63,255,0,54
119,255,0,54,255,0,42,255,0,28
