bin_i,bin_start_r,bin_start_g,bin_start_b,bin_center_r,bin_center_g,bin_center_b,bin_end_before_r,bin_end_before_g,bin_end_before_b
0,1,0,0.1843137254901961,1,0,0,1,0.16862745098039217,0
1,1,0.16862745098039217,0,1,0.27450980392156865,0,1,0.3568627450980392,0
2,1,0.3568627450980392,0,1,0.43137254901960786,0,1,0.4980392156862745,0
3,1,0.4980392156862745,0,1,0.5607843137254902,0,1,0.6235294117647059,0
4,1,0.6235294117647059,0,1,0.6823529411764706,0,1,0.7411764705882353,0
5,1,0.7411764705882353,0,1,0.8,0,1,0.8588235294117647,0
6,1,0.8588235294117647,0,1,0.9176470588235294,0,1,0.9764705882352941,0
7,1,0.9764705882352941,0,0.9568627450980393,1,0,0.8784313725490196,1,0
8,0.8784313725490196,1,0,0.8,1,0,0.7215686274509804,1,0
9,0.7215686274509804,1,0,0.6431372549019608,1,0,0.5568627450980392,1,0
10,0.5568627450980392,1,0,0.4666666666666667,1,0,0.3607843137254902,1,0
11,0.3607843137254902,1,0,0.23137254901960785,1,0,0.00392156862745098,1,0
12,0.00392156862745098,1,0,0,1,0.23921568627450981,0,1,0.3843137254901961
13,0,1,0.3843137254901961,0,1,0.5058823529411764,0,1,0.615686274509804
14,0,1,0.615686274509804,0,1,0.7215686274509804,0,1,0.8274509803921568
15,0,1,0.8274509803921568,0,1,0.9333333333333333,0,0.9803921568627451,1
16,0,0.9803921568627451,1,0,0.9254901960784314,1,0,0.8666666666666667,1
17,0,0.8666666666666667,1,0,0.8117647058823529,1,0,0.7529411764705882,1
18,0,0.7529411764705882,1,0,0.6980392156862745,1,0,0.6431372549019608,1
19,0,0.6431372549019608,1,0,0.5843137254901961,1,0,0.5254901960784314,1
20,0,0.5254901960784314,1,0,0.4666666666666667,1,0,0.403921568627451,1
21,0,0.403921568627451,1,0,0.3333333333333333,1,0,0.2627450980392157,1
22,0,0.2627450980392157,1,0,0.17647058823529413,1,0,0.058823529411764705,1
23,0,0.058823529411764705,1,0.023529411764705882,0,1,0.07450980392156863,0,1
24,0.07450980392156863,0,1,0.12549019607843137,0,1,0.17647058823529413,0,1
25,0.17647058823529413,0,1,0.2235294117647059,0,1,0.27058823529411763,0,1
26,0.27058823529411763,0,1,0.3176470588235294,0,1,0.3686274509803922,0,1
27,0.3686274509803922,0,1,0.4196078431372549,0,1,0.4745098039215686,0,1
28,0.4745098039215686,0,1,0.5294117647058824,0,1,0.5882352941176471,0,1
29,0.5882352941176471,0,1,0.6470588235294118,0,1,0.7098039215686275,0,1
30,0.7098039215686275,0,1,0.7725490196078432,0,1,0.8392156862745098,0,1
31,0.8392156862745098,0,1,0.9058823529411765,0,1,0.9764705882352941,0,1
32,0.9764705882352941,0,1,1,0,0.9294117647058824,1,0,0.8235294117647058
33,1,0,0.8235294117647058,1,0,0.7215686274509804,1,0,0.6196078431372549
34,1,0,0.6196078431372549,1,0,0.5215686274509804,1,0,0.4196078431372549
35,1,0,0.4196078431372549,1,0,0.30980392156862746,1,0,0.1843137254901961
