bin_i,bin_start_r,bin_start_g,bin_start_b,bin_center_r,bin_center_g,bin_center_b,bin_end_before_r,bin_end_before_g,bin_end_before_b
0,1,0,0.1450980392156863,1,0,0,1,0.1411764705882353,0
1,1,0.1411764705882353,0,1,0.21176470588235294,0,1,0.2627450980392157,0
2,1,0.2627450980392157,0,1,0.3058823529411765,0,1,0.34509803921568627,0
3,1,0.34509803921568627,0,1,0.3803921568627451,0,1,0.41568627450980394,0
4,1,0.41568627450980394,0,1,0.4470588235294118,0,1,0.47843137254901963,0
5,1,0.47843137254901963,0,1,0.5058823529411764,0,1,0.5372549019607843,0
6,1,0.5372549019607843,0,1,0.5647058823529412,0,1,0.5882352941176471,0
7,1,0.5882352941176471,0,1,0.615686274509804,0,1,0.6431372549019608,0
8,1,0.6431372549019608,0,1,0.6666666666666666,0,1,0.6941176470588235,0
9,1,0.6941176470588235,0,1,0.7176470588235294,0,1,0.7450980392156863,0
10,1,0.7450980392156863,0,1,0.7686274509803922,0,1,0.792156862745098,0
11,1,0.792156862745098,0,1,0.8196078431372549,0,1,0.8431372549019608,0
12,1,0.8431372549019608,0,1,0.8666666666666667,0,1,0.8901960784313725,0
13,1,0.8901960784313725,0,1,0.9176470588235294,0,1,0.9411764705882353,0
14,1,0.9411764705882353,0,1,0.9647058823529412,0,1,0.9882352941176471,0
15,1,0.9882352941176471,0,0.9764705882352941,1,0,0.9372549019607843,1,0
16,0.9372549019607843,1,0,0.8980392156862745,1,0,0.8588235294117647,1,0
17,0.8588235294117647,1,0,0.8156862745098039,1,0,0.7725490196078432,1,0
18,0.7725490196078432,1,0,0.7294117647058823,1,0,0.6823529411764706,1,0
19,0.6823529411764706,1,0,0.6352941176470588,1,0,0.5843137254901961,1,0
20,0.5843137254901961,1,0,0.5294117647058824,1,0,0.47058823529411764,1,0
21,0.47058823529411764,1,0,0.4,1,0,0.3137254901960784,1,0
22,0.3137254901960784,1,0,0.19607843137254902,1,0,0,1,0.10588235294117647
23,0,1,0.10588235294117647,0,1,0.23137254901960785,0,1,0.3137254901960784
24,0,1,0.3137254901960784,0,1,0.3803921568627451,0,1,0.43529411764705883
25,0,1,0.43529411764705883,0,1,0.49019607843137253,0,1,0.5372549019607843
26,0,1,0.5372549019607843,0,1,0.5843137254901961,0,1,0.6313725490196078
27,0,1,0.6313725490196078,0,1,0.6745098039215687,0,1,0.7176470588235294
28,0,1,0.7176470588235294,0,1,0.7607843137254902,0,1,0.8
29,0,1,0.8,0,1,0.8431372549019608,0,1,0.8862745098039215
30,0,1,0.8862745098039215,0,1,0.9254901960784314,0,1,0.9686274509803922
31,0,1,0.9686274509803922,0,0.996078431372549,1,0,0.9725490196078431,1
32,0,0.9725490196078431,1,0,0.9529411764705882,1,0,0.9294117647058824,1
33,0,0.9294117647058824,1,0,0.9058823529411765,1,0,0.8823529411764706,1
34,0,0.8823529411764706,1,0,0.8627450980392157,1,0,0.8392156862745098,1
35,0,0.8392156862745098,1,0,0.8156862745098039,1,0,0.792156862745098,1
36,0,0.792156862745098,1,0,0.7725490196078432,1,0,0.7490196078431373,1
37,0,0.7490196078431373,1,0,0.7254901960784313,1,0,0.7019607843137254,1
38,0,0.7019607843137254,1,0,0.6784313725490196,1,0,0.6549019607843137,1
39,0,0.6549019607843137,1,0,0.6313725490196078,1,0,0.6078431372549019,1
40,0,0.6078431372549019,1,0,0.5843137254901961,1,0,0.5607843137254902,1
41,0,0.5607843137254902,1,0,0.5333333333333333,1,0,0.5098039215686274,1
42,0,0.5098039215686274,1,0,0.4823529411764706,1,0,0.4549019607843137,1
43,0,0.4549019607843137,1,0,0.42745098039215684,1,0,0.4,1
44,0,0.4,1,0,0.3686274509803922,1,0,0.33725490196078434,1
45,0,0.33725490196078434,1,0,0.3058823529411765,1,0,0.26666666666666666,1
46,0,0.26666666666666666,1,0,0.2235294117647059,1,0,0.17254901960784313,1
47,0,0.17254901960784313,1,0,0.09803921568627451,1,0.047058823529411764,0,1
48,0.047058823529411764,0,1,0.12941176470588237,0,1,0.1803921568627451,0,1
49,0.1803921568627451,0,1,0.2235294117647059,0,1,0.2627450980392157,0,1
50,0.2627450980392157,0,1,0.2980392156862745,0,1,0.32941176470588235,0,1
51,0.32941176470588235,0,1,0.3607843137254902,0,1,0.39215686274509803,0,1
52,0.39215686274509803,0,1,0.4196078431372549,0,1,0.45098039215686275,0,1
53,0.45098039215686275,0,1,0.47843137254901963,0,1,0.5098039215686274,0,1
54,0.5098039215686274,0,1,0.5372549019607843,0,1,0.5686274509803921,0,1
55,0.5686274509803921,0,1,0.596078431372549,0,1,0.6274509803921569,0,1
56,0.6274509803921569,0,1,0.6549019607843137,0,1,0.6823529411764706,0,1
57,0.6823529411764706,0,1,0.7137254901960784,0,1,0.7411764705882353,0,1
58,0.7411764705882353,0,1,0.7725490196078432,0,1,0.803921568627451,0,1
59,0.803921568627451,0,1,0.8313725490196079,0,1,0.8627450980392157,0,1
60,0.8627450980392157,0,1,0.8941176470588236,0,1,0.9215686274509803,0,1
61,0.9215686274509803,0,1,0.9529411764705882,0,1,0.984313725490196,0,1
62,0.984313725490196,0,1,1,0,0.9803921568627451,1,0,0.9372549019607843
63,1,0,0.9372549019607843,1,0,0.8980392156862745,1,0,0.8549019607843137
64,1,0,0.8549019607843137,1,0,0.8156862745098039,1,0,0.7764705882352941
65,1,0,0.7764705882352941,1,0,0.7333333333333333,1,0,0.6941176470588235
66,1,0,0.6941176470588235,1,0,0.6549019607843137,1,0,0.615686274509804
67,1,0,0.615686274509804,1,0,0.5764705882352941,1,0,0.5372549019607843
68,1,0,0.5372549019607843,1,0,0.49411764705882355,1,0,0.4549019607843137
69,1,0,0.4549019607843137,1,0,0.4117647058823529,1,0,0.3686274509803922
70,1,0,0.3686274509803922,1,0,0.3215686274509804,1,0,0.27450980392156865
71,1,0,0.27450980392156865,1,0,0.21568627450980393,1,0,0.1450980392156863
