lang,name,avgColorRGBCode,binPctCnt,totalColorFraction,langAbv,commonName,avgL,avgA,avgB,numFullNames,numLineNames
English (English),blue,"rgb(68, 114, 223)",74.04501151098766,0.058349102845537903,en,blue,49.224988855632716,12.390625995032789,-61.494618862637715,9380,6323
English (English),green,"rgb(94, 194, 83)",87.92880070240595,0.06928983506887776,en,green,70.69713027320886,-47.04425022365967,45.7153671461014,11711,2820
English (English),purple,"rgb(153, 62, 192)",91.08017858663361,0.07177319037559773,en,purple,43.73150547521515,53.307698737774714,-51.927610131238,9655,2308
English (English),pink,"rgb(240, 91, 172)",61.73908375252701,0.04865176024627813,en,pink,61.194539249146814,63.57630424183321,-12.201365187713302,5809,2395
English (English),red,"rgb(224, 35, 44)",33.33454602817219,0.02626835778421762,en,red,49.414893617021285,69.54407294832822,46.738601823708166,3758,2822
English (English),orange,"rgb(244, 132, 33)",32.065666106306146,0.025268452408436656,en,orange,67.1065820247244,39.41530237220181,66.93785499498834,3053,2933
English (English),yellow,"rgb(240, 230, 50)",28.66355001792078,0.022587509864397757,en,yellow,89.92080355418196,-9.482325671238172,80.08305968707745,2577,2600
English (English),brown,"rgb(136, 88, 49)",51.6857635959776,0.04072952214025024,en,brown,42.200883002207455,17.456953642384114,30.964679911699765,4520,10
English (English),magenta,"rgb(222, 44, 172)",22.661064580002925,0.0178574188967714,en,magenta,52.46653445711455,73.67873078829953,-25.922161626177523,2606,1428
English (English),teal,"rgb(67, 196, 179)",20.187149996982434,0.015907919619371488,en,teal,72.00058754406585,-39.57990599294948,-2.3619271445358407,2595,809
English (English),limegreen,"rgb(130, 239, 59)",13.035936829147659,0.010272605854332267,en,lime green,85.40735873850203,-53.863337713534904,70.2233902759528,1975,1069
English (English),lightblue,"rgb(88, 192, 239)",14.925383762531247,0.01176153172776299,en,light blue,73.01172529313232,-20.800670016750434,-32.91122278056953,1660,1325
English (English),skyblue,"rgb(82, 186, 240)",13.89205616387614,0.01094724678004423,en,sky blue,71.25946592267837,-18.63690713431647,-36.51255480271025,1497,1012
English (English),turquoise,"rgb(63, 211, 197)",11.12016892381949,0.008762938474247028,en,turquoise,76.70276774969912,-42.346570397111954,-5.002005615724027,1697,796
English (English),lightgreen,"rgb(134, 230, 113)",14.258853945558494,0.01123629152526279,en,light green,83.41325196163928,-46.02441150828252,47.32345248474283,1819,475
English (English),darkblue,"rgb(46, 54, 174)",13.126863784709542,0.010344258301583554,en,dark blue,28.950221784130093,30.16757023164118,-66.1360275998028,1425,604
English (English),violet,"rgb(151, 64, 195)",15.411200885739303,0.012144366340220087,en,violet,44.122590212555686,52.50617894216519,-53.494809688581356,1653,370
English (English),gray,"rgb(145, 150, 149)",20.499317660607534,0.016153914626168255,en,grey,61.60401002506266,-1.8496240601503762,0.005012531328321048,1992,3
English (English),fuchsia,"rgb(230, 48, 180)",9.655636375366294,0.007608854511714961,en,fuschia,54.583766909469276,75.66077003121754,-27.26326742976068,1153,769
English (English),hotpink,"rgb(246, 44, 159)",8.403874085888347,0.006622438207949834,en,hot pink,56.56064690026958,78.64690026954189,-11.773584905660377,1148,707
English (English),darkgreen,"rgb(51, 102, 48)",18.61200865749506,0.014666673488963786,en,dark green,38.63636363636365,-26.99999999999999,24.93749999999999,1757,3
English (English),neongreen,"rgb(96, 246, 67)",6.121004173745189,0.004823486346528907,en,neon green,86.3959691760521,-64.59988144635444,68.31653823355065,1204,483
English (English),royalblue,"rgb(46, 57, 216)",7.81165779656294,0.00615575870493533,en,royal blue,33.36765596608116,41.05390672319804,-83.7674136886735,1050,601
English (English),black,"rgb(36, 31, 33)",32.53433006043066,0.025637769945177805,en,black,12.407170294494232,2.7528809218950068,-0.5441741357234314,1561,1
English (English),cyan,"rgb(72, 220, 224)",5.583327989723114,0.004399785649900007,en,cyan,80.38069340584634,-39.17063222297755,-14.07205982324949,852,619
English (English),maroon,"rgb(134, 38, 55)",15.477400680753888,0.012196533239364754,en,maroon,31.63662581110308,41.94664744051913,13.842826243691418,1376,11
English (English),lavender,"rgb(180, 139, 214)",14.490137769364365,0.011418548281610994,en,lavender,63.83779869659666,26.770456191165827,-32.606806661839286,1346,35
English (English),navyblue,"rgb(43, 53, 126)",13.703752651033787,0.010798859457079412,en,navy blue,24.872180451127832,15.421052631578945,-43.353383458646604,1257,73
English (English),forestgreen,"rgb(54, 111, 52)",12.034762483207366,0.009483658379202014,en,forest green,41.88693659281896,-29.25133689839572,26.447669977081766,1304,5
English (English),darkpurple,"rgb(97, 40, 115)",14.722544354438702,0.011601689798612048,en,dark purple,27.28826728826728,35.734265734265755,-32.02797202797205,1240,47
