reason_excluded,participantId,lang0Abv,lang0,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLang0Abv
ignoring characters left nothing,3293,en,English (English),?,?,rgb,255,0,109,1,9,line,white,en,pilot,
ignoring characters left nothing,3355,ru,Russian (Русский),purple,purple,rgb,213,0,255,6,6,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),fushia pink,Fushia pink,rgb,255,0,199,1,0,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),blue,Blue,rgb,0,60,255,1,1,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),sky blue,Sky blue,rgb,0,164,255,1,2,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),dark sky blue,Dark sky blue,rgb,0,151,255,1,3,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),red,Red,rgb,255,0,82,1,4,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),mint green,Mint green,rgb,0,255,212,1,5,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),emerald green,Emerald green,rgb,0,255,147,1,6,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),lemon green,Lemon green,rgb,163,255,0,1,7,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),pink,Pink,rgb,255,0,235,1,8,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),light blue,Light blue,rgb,0,183,255,1,9,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),rose pink,Rose pink,rgb,255,0,153,1,10,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),purple blue,Purple blue,rgb,72,0,255,1,11,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),custard yellow,Custard yellow,rgb,255,201,0,3,0,line,white,en,pilot,
ignoring characters left nothing,3383,th,Thai (ไทย),pink,Pink,rgb,252,0,255,3,1,line,white,en,pilot,
