participantId,userSort1,userSort2,userSort3,userSort4,userSort5,userSort6,userSort1Drags,userSort2Drags,userSort3Drags,userSort4Drags,userSort5Drags,userSort6Drags,userSort1Time,userSort2Time,userSort3Time,userSort4Time,userSort5Time,userSort6Time,background,sort_score
0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","4,8,14,1,10,9,15,11,3,6,2,13,7,5,12","13,5,7,3,4,12,8,1,2,15,10,9,6,11,14","13,5,7,3,4,12,8,1,2,15,10,9,6,11,14",0,0,0,0,0,0,0,0,0,0,0,0,white,0
3138,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0,0,0,0,0,0,0,0,0,0,0,0,white,1
3139,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,15,14","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0,0,0,0,0,0,0,0,0,0,0,0,white,0.982261
3143,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,14,13,15","1,2,3,4,5,6,7,8,10,11,12,9,15,13,14","1,2,3,4,5,6,7,8,10,11,12,9,15,13,14",0,0,0,0,0,0,0,0,0,0,0,0,white,0.907848
3147,"1,2,3,5,4,7,6,8,9,10,11,12,13,14,15","1,2,3,4,5,6,8,7,9,10,11,12,13,15,14","1,2,4,5,3,6,7,9,10,8,11,13,12,14,15","1,2,3,4,5,6,8,7,9,10,11,12,14,13,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0,0,0,0,0,0,0,0,0,0,0,0,white,0.927288
3153,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,15,13,14","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0,0,0,0,0,0,0,0,0,0,0,0,white,0.967539
3154,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","2,1,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,13,14,12,15",,,,0,0,0,0,0,0,0,0,0,0,0,0,white,0
3156,"1,3,2,4,5,6,7,9,8,10,11,12,14,13,15","2,1,3,4,5,6,8,7,10,9,11,12,13,14,15","3,2,1,4,5,6,9,7,8,10,11,13,12,15,14","3,5,1,2,8,6,11,4,7,9,10,12,13,14,15","4,2,1,3,5,11,6,10,8,7,9,12,13,15,14","4,2,1,3,5,11,6,10,8,7,9,12,13,15,14",0,0,0,0,0,0,0,0,0,0,0,0,white,0.726038
3157,"1,3,2,4,5,6,9,8,7,10,11,12,13,14,15","1,2,3,4,5,6,7,8,10,9,11,12,13,15,14","2,1,3,4,6,5,7,8,9,11,10,12,13,15,14","2,1,3,4,6,5,7,8,9,10,11,12,13,15,14","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0,0,0,0,0,0,0,0,0,0,0,0,white,0.918491
3158,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",0,0,0,0,0,0,0,0,0,0,0,0,white,1
