participantId,date,ipCountry,ipRegion,instructionsLocale,browserLocale,retake,gender,countryGrow,countryLive,multinational,country1,country2,country3,country4,country5,education,lang0,lang1,fluency1,lang2,fluency2,age,colorBlindness,colorBlindnessOther,colorWork,colorWorkDetails,readingAboutColor,surroundingBrightness,surroundingBrightIDK,monitorBrightness,monitorBrightIDK,backgroundColor,displayColorSpace
3138,2016,United States,,en,,no,female,,,no,,,,,,PhD,English,Spanish,3,,0,26,,,no,,,,false,,false,white,rgb
3139,2016,United States,,en,,no,male,,,no,,,,,,PhD,English,,0,,0,26,none,,no,,,,false,,false,white,rgb
3143,2016,United States,,en,,no,male,,,no,,,,,,college,English,,0,,0,29,none,,no,,,,false,,false,white,rgb
3146,2016,United States,,en,,no,female,,,no,,,,,,college,English,,0,,0,31,none,,no,,,,false,,false,white,rgb
3147,2016,United Kingdom,,en,,no,female,,,no,,,,,,graduate school,English,French,2,Spanish,3,26,none,,no,,,,true,,true,white,rgb
3153,2016,United States,,en,,no,female,,,no,,,,,,high school,English,Spanish,3,French,3,34,none,,no,,,,true,,false,white,rgb
3154,2016,United States,,en,,no,male,,,yes,,,,,,PhD,Urdu,English,0,"Panjabi, Punjabi",2,24,none,,no,,,,false,,false,white,rgb
3156,2016,United States,,en,,no,female,,,yes,,,,,,PhD,Korean,English,1,Chinese,2,31,none,,no,,,,false,,false,white,rgb
3157,2016,United States,,en,,no,male,,,yes,,,,,,postdoctoral,Spanish,Portuguese,2,English,1,30,none,,no,,,,false,,false,white,rgb
3158,2016,United States,,en,,no,female,,,no,,,,,,PhD,English,Spanish,2,,0,24,none,,no,,,,false,,false,white,rgb
3160,2016,Republic of Korea,,en,,no,male,,,no,,,,,,professional school,English,Spanish,1,German,3,33,other,"Blue-purple, difficulty seeing light shades/pastels",no,,,,false,,false,white,rgb
3161,2016,United States,,en,,no,female,,,no,,,,,,college,English,Spanish,3,,0,32,,,no,,,,false,,false,white,rgb
3163,2016,United States,,en,,no,female,,,no,,,,,,college,English,,0,,0,55,,,no,,,,true,,true,white,rgb
3164,2016,United States,,en,,no,male,,,no,,,,,,college,Chinese,,0,,0,21,none,,no,,,,false,,false,white,rgb
3165,2016,United States,,en,,no,male,,,no,,,,,,college,English,,0,,0,22,none,,no,,,,false,,false,white,rgb
3166,2016,United States,,en,,no,female,,,no,,,,,,college,English,,0,,0,22,none,,no,,,,false,,false,white,rgb
3167,2016,United States,,en,,no,female,,,no,,,,,,college,English,Spanish,2,,0,26,,,no,,,,false,,false,white,rgb
3168,2016,United States,,en,,no,other,,,no,,,,,,college,English,,0,,0,27,,,yes,"Cosmetology, makeup artistry, jewelry",,,false,,false,white,rgb
3169,2016,United States,,en,,no,female,,,no,,,,,,PhD,English,"Bengali, Bangla",0,French,2,23,none,,no,,,,false,,false,white,rgb
3170,2016,United States,,en,,no,female,,,yes,,,,,,high school,English,,0,,0,28,none,,no,,,,false,,false,white,rgb
3171,2016,United States,,en,,no,female,,,no,,,,,,graduate school,English,,0,,0,28,none,,no,,,,false,,false,white,rgb
3172,2016,United States,,en,,no,male,,,no,,,,,,PhD,English,,0,,0,26,none,,no,,,,false,,false,white,rgb
3175,2016,United States,,en,,no,male,,,yes,,,,,,college,Spanish,English,0,,0,49,none,,yes,Creative projects managment,,,false,,false,white,rgb
3178,2016,United States,,en,,no,female,,,yes,,,,,,college,English,Spanish,3,Chinese,1,30,none,,no,,,,false,,false,white,rgb
3180,2016,United States,,en,,no,male,,,no,,,,,,graduate school,English,,0,,0,22,,,yes,Photographer,,,false,,false,white,rgb
3182,2016,United States,,en,,no,female,,,yes,,,,,,postdoctoral,English,Spanish,3,,0,32,none,,no,,,,false,,false,white,rgb
3183,2016,United States,,en,,no,male,,,no,,,,,,college,English,Japanese,3,,0,27,none,,no,,,,false,,false,white,rgb
3185,2016,United States,,en,,no,female,,,no,,,,,,PhD,English,Tamil,1,,0,28,none,,no,,,,false,,false,white,rgb
3189,2016,United States,,en,,no,male,,,no,,,,,,college,English,,0,,0,32,none,,no,,,,false,,false,white,rgb
3191,2016,United States,,en,,no,female,,,no,,,,,,college,English,German,3,Tagalog,3,30,none,,no,,,,false,,false,white,rgb
3194,2016,United States,,en,,no,male,,,no,,,,,,graduate school,English,French,2,Greek�(modern),3,25,none,,no,,,,false,,false,white,rgb
3197,2016,United States,,en,,no,male,,,yes,,,,,,graduate school,Chinese,English,0,,0,35,none,,no,,,,false,,false,white,rgb
3199,2016,United States,,en,,no,female,,,no,,,,,,college,English,Spanish,3,,0,33,none,,yes,Photographer,,,false,,false,white,rgb
3200,2016,United States,,en,,no,female,,,yes,,,,,,college,English,French,2,,0,24,,,yes,"Fashion design,",,,false,,false,white,rgb
3201,2016,United States,,en,,no,female,,,yes,,,,,,college,English,Spanish,2,,0,25,none,,yes,Graphic Designer,,,true,,true,white,rgb
3203,2016,United States,,en,,no,female,,,yes,,,,,,college,Korean,English,0,Japanese,2,27,none,,no,,,,false,,false,white,rgb
3204,2016,United States,,en,,no,female,,,no,,,,,,graduate school,English,German,2,French,3,27,none,,no,,,,false,,false,white,rgb
3205,2016,United States,,en,,no,male,,,no,,,,,,graduate school,English,,0,,0,59,,,no,,,,false,,false,white,rgb
3206,2016,United States,,en,,no,female,,,yes,,,,,,college,English,Spanish,2,,0,25,none,,yes,Graphic Designer ,,,true,,true,white,rgb
3207,2016,United States,,en,,no,male,,,yes,,,,,,PhD,English,,0,,0,24,none,,no,,,,false,,false,white,rgb
3211,2016,United States,,en,,no,male,,,no,,,,,,college,English,,0,,0,32,none,,no,,,,false,,false,white,rgb
3213,2016,Brunei,,en,,no,male,,,yes,,,,,,professional school,English,Chinese,0,Malay,3,34,none,,no,,,,false,,false,white,rgb
3215,2016,United States,,en,,no,male,,,yes,,,,,,college,Korean,English,1,,0,31,none,,no,,,,false,,false,white,rgb
3216,2016,United States,,en,,no,female,,,yes,,,,,,graduate school,English,,0,,0,30,none,,no,,,,true,,true,white,rgb
3218,2016,United States,,en,,no,male,,,yes,,,,,,PhD,English,Korean,0,Japanese,2,25,none,,no,,,,false,,false,white,rgb
3219,2016,United States,,en,,no,female,,,no,,,,,,PhD,English,Spanish,2,,0,28,,,no,,,,true,,true,white,rgb
3220,2016,United States,,en,,no,female,,,yes,,,,,,PhD,Korean,English,0,,0,27,none,,no,,,,false,,false,white,rgb
