study_version,color_index,color_set_num,color_set_tile_num,r,g,b,color_string
v1,0,1,1,249,153,189,"rgb(249,153,189)"
v1,1,1,2,247,154,194,"rgb(247,154,194)"
v1,2,1,3,244,155,198,"rgb(244,155,198)"
v1,3,1,4,242,156,203,"rgb(242,156,203)"
v1,4,1,5,238,157,208,"rgb(238,157,208)"
v1,5,1,6,235,158,213,"rgb(235,158,213)"
v1,6,1,7,231,159,217,"rgb(231,159,217)"
v1,7,1,8,226,160,222,"rgb(226,160,222)"
v1,8,1,9,222,162,226,"rgb(222,162,226)"
v1,9,1,10,216,164,230,"rgb(216,164,230)"
v1,10,1,11,211,165,234,"rgb(211,165,234)"
v1,11,1,12,205,167,237,"rgb(205,167,237)"
v1,12,1,13,199,169,240,"rgb(199,169,240)"
v1,13,1,14,193,171,243,"rgb(193,171,243)"
v1,14,1,15,186,172,246,"rgb(186,172,246)"
v1,15,2,1,179,174,248,"rgb(179,174,248)"
v1,16,2,2,172,176,250,"rgb(172,176,250)"
v1,17,2,3,164,178,252,"rgb(164,178,252)"
v1,18,2,4,157,180,254,"rgb(157,180,254)"
v1,19,2,5,149,181,255,"rgb(149,181,255)"
v1,20,2,6,140,183,255,"rgb(140,183,255)"
v1,21,2,7,132,185,255,"rgb(132,185,255)"
v1,22,2,8,123,186,255,"rgb(123,186,255)"
v1,23,2,9,115,188,255,"rgb(115,188,255)"
v1,24,2,10,106,189,254,"rgb(106,189,254)"
v1,25,2,11,96,191,253,"rgb(96,191,253)"
v1,26,2,12,87,192,252,"rgb(87,192,252)"
v1,27,2,13,78,193,250,"rgb(78,193,250)"
v1,28,2,14,68,194,248,"rgb(68,194,248)"
v1,29,2,15,58,196,245,"rgb(58,196,245)"
v1,30,3,1,48,196,242,"rgb(48,196,242)"
v1,31,3,2,38,197,239,"rgb(38,197,239)"
v1,32,3,3,27,198,236,"rgb(27,198,236)"
v1,33,3,4,16,199,232,"rgb(16,199,232)"
v1,34,3,5,5,200,228,"rgb(5,200,228)"
v1,35,3,6,0,200,224,"rgb(0,200,224)"
v1,36,3,7,1,201,220,"rgb(1,201,220)"
v1,37,3,8,8,201,215,"rgb(8,201,215)"
v1,38,3,9,19,201,211,"rgb(19,201,211)"
v1,39,3,10,29,202,206,"rgb(29,202,206)"
v1,40,3,11,39,202,201,"rgb(39,202,201)"
v1,41,3,12,47,202,196,"rgb(47,202,196)"
v1,42,3,13,56,202,191,"rgb(56,202,191)"
v1,43,3,14,64,202,186,"rgb(64,202,186)"
v1,44,3,15,72,202,181,"rgb(72,202,181)"
v1,45,4,1,79,201,176,"rgb(79,201,176)"
v1,46,4,2,87,201,170,"rgb(87,201,170)"
v1,47,4,3,94,201,165,"rgb(94,201,165)"
v1,48,4,4,101,200,160,"rgb(101,200,160)"
v1,49,4,5,107,200,156,"rgb(107,200,156)"
v1,50,4,6,114,199,151,"rgb(114,199,151)"
v1,51,4,7,120,199,146,"rgb(120,199,146)"
v1,52,4,8,127,198,142,"rgb(127,198,142)"
v1,53,4,9,133,197,137,"rgb(133,197,137)"
v1,54,4,10,139,196,133,"rgb(139,196,133)"
v1,55,4,11,145,195,129,"rgb(145,195,129)"
v1,56,4,12,151,194,126,"rgb(151,194,126)"
v1,57,4,13,157,193,122,"rgb(157,193,122)"
v1,58,4,14,162,192,119,"rgb(162,192,119)"
v1,59,4,15,168,191,117,"rgb(168,191,117)"
v1,60,5,1,173,190,114,"rgb(173,190,114)"
v1,61,5,2,179,188,112,"rgb(179,188,112)"
v1,62,5,3,184,187,110,"rgb(184,187,110)"
v1,63,5,4,189,185,109,"rgb(189,185,109)"
v1,64,5,5,194,184,108,"rgb(194,184,108)"
v1,65,5,6,199,182,108,"rgb(199,182,108)"
v1,66,5,7,204,181,107,"rgb(204,181,107)"
v1,67,5,8,208,179,107,"rgb(208,179,107)"
v1,68,5,9,213,177,108,"rgb(213,177,108)"
v1,69,5,10,217,176,109,"rgb(217,176,109)"
v1,70,5,11,221,174,110,"rgb(221,174,110)"
v1,71,5,12,225,172,112,"rgb(225,172,112)"
v1,72,5,13,229,170,114,"rgb(229,170,114)"
v1,73,5,14,233,169,116,"rgb(233,169,116)"
v1,74,5,15,236,167,119,"rgb(236,167,119)"
v1,75,6,1,239,165,122,"rgb(239,165,122)"
v1,76,6,2,242,164,125,"rgb(242,164,125)"
v1,77,6,3,245,162,129,"rgb(245,162,129)"
v1,78,6,4,247,161,132,"rgb(247,161,132)"
v1,79,6,5,249,159,136,"rgb(249,159,136)"
v1,80,6,6,251,158,140,"rgb(251,158,140)"
v1,81,6,7,252,157,145,"rgb(252,157,145)"
v1,82,6,8,253,156,149,"rgb(253,156,149)"
v1,83,6,9,254,155,154,"rgb(254,155,154)"
v1,84,6,10,254,154,159,"rgb(254,154,159)"
v1,85,6,11,254,154,163,"rgb(254,154,163)"
v1,86,6,12,254,153,168,"rgb(254,153,168)"
v1,87,6,13,253,153,173,"rgb(253,153,173)"
v1,88,6,14,252,153,178,"rgb(252,153,178)"
v1,89,6,15,251,153,183,"rgb(251,153,183)"
